Date,Open,High,Low,Close,Volume,Adj Close
2016-09-02,2177.48999,2184.870117,2173.590088,2179.97998,3091120000,2179.97998
2016-09-01,2171.330078,2173.560059,2157.090088,2170.860107,3392120000,2170.860107
2016-08-31,2173.560059,2173.790039,2161.350098,2170.949951,3766390000,2170.949951
2016-08-30,2179.449951,2182.27002,2170.409912,2176.120117,3006800000,2176.120117
2016-08-29,2170.189941,2183.47998,2170.189941,2180.379883,2654780000,2180.379883
2016-08-26,2175.100098,2187.939941,2160.389893,2169.040039,3342340000,2169.040039
2016-08-25,2173.290039,2179.00,2169.73999,2172.469971,2969310000,2172.469971
2016-08-24,2185.090088,2186.659912,2171.25,2175.439941,3148280000,2175.439941
2016-08-23,2187.810059,2193.419922,2186.800049,2186.899902,3041490000,2186.899902
2016-08-22,2181.580078,2185.149902,2175.959961,2182.639893,2777550000,2182.639893
2016-08-19,2184.23999,2185.00,2175.129883,2183.870117,3084800000,2183.870117
2016-08-18,2181.899902,2187.030029,2180.459961,2187.02002,3300570000,2187.02002
2016-08-17,2177.840088,2183.080078,2168.50,2182.219971,3388910000,2182.219971
2016-08-16,2186.23999,2186.23999,2178.139893,2178.149902,3196400000,2178.149902
2016-08-15,2186.080078,2193.810059,2186.080078,2190.149902,3078530000,2190.149902
2016-08-12,2183.73999,2186.280029,2179.419922,2184.050049,3000660000,2184.050049
2016-08-11,2177.969971,2188.449951,2177.969971,2185.790039,3423160000,2185.790039
2016-08-10,2182.810059,2183.409912,2172.00,2175.48999,3254950000,2175.48999
2016-08-09,2182.23999,2187.659912,2178.610107,2181.73999,3334300000,2181.73999
2016-08-08,2183.76001,2185.439941,2177.850098,2180.889893,3327550000,2180.889893
2016-08-05,2168.790039,2182.870117,2168.790039,2182.870117,3663070000,2182.870117
2016-08-04,2163.51001,2168.189941,2159.070068,2164.25,3709200000,2164.25
2016-08-03,2156.810059,2163.790039,2152.560059,2163.790039,3786530000,2163.790039
2016-08-02,2169.939941,2170.199951,2147.580078,2157.030029,3848750000,2157.030029
2016-08-01,2173.149902,2178.290039,2166.209961,2170.840088,3505990000,2170.840088
2016-07-29,2168.830078,2177.090088,2163.48999,2173.600098,4038840000,2173.600098
2016-07-28,2166.050049,2172.850098,2159.73999,2170.060059,3664240000,2170.060059
2016-07-27,2169.810059,2174.97998,2159.070068,2166.580078,3995500000,2166.580078
2016-07-26,2168.969971,2173.540039,2160.179932,2169.179932,3442350000,2169.179932
2016-07-25,2173.709961,2173.709961,2161.949951,2168.47998,3057240000,2168.47998
2016-07-22,2166.469971,2175.110107,2163.23999,2175.030029,3023280000,2175.030029
2016-07-21,2172.909912,2174.560059,2159.75,2165.169922,3438900000,2165.169922
2016-07-20,2166.100098,2175.629883,2164.889893,2173.02002,3211860000,2173.02002
2016-07-19,2163.790039,2164.629883,2159.01001,2163.780029,2968340000,2163.780029
2016-07-18,2162.040039,2168.350098,2159.629883,2166.889893,3009310000,2166.889893
2016-07-15,2165.129883,2169.050049,2155.790039,2161.73999,3122600000,2161.73999
2016-07-14,2157.879883,2168.98999,2157.879883,2163.75,3465610000,2163.75
2016-07-13,2153.810059,2156.449951,2146.209961,2152.429932,3502320000,2152.429932
2016-07-12,2139.50,2155.399902,2139.50,2152.139893,4097820000,2152.139893
2016-07-11,2131.719971,2143.159912,2131.719971,2137.159912,3253340000,2137.159912
2016-07-08,2106.969971,2131.709961,2106.969971,2129.899902,3607500000,2129.899902
2016-07-07,2100.419922,2109.080078,2089.389893,2097.899902,3604550000,2097.899902
2016-07-06,2084.429932,2100.719971,2074.02002,2099.72998,3909380000,2099.72998
2016-07-05,2095.050049,2095.050049,2080.860107,2088.550049,3658380000,2088.550049
2016-07-01,2099.340088,2108.709961,2097.899902,2102.949951,3458890000,2102.949951
2016-06-30,2073.169922,2098.939941,2070.00,2098.860107,4622820000,2098.860107
2016-06-29,2042.689941,2073.129883,2042.689941,2070.77002,4241740000,2070.77002
2016-06-28,2006.670044,2036.089966,2006.670044,2036.089966,4385810000,2036.089966
2016-06-27,2031.449951,2031.449951,1991.680054,2000.540039,5431220000,2000.540039
2016-06-24,2103.810059,2103.810059,2032.569946,2037.410034,7597449600,2037.410034
2016-06-23,2092.800049,2113.320068,2092.800049,2113.320068,3297940000,2113.320068
2016-06-22,2089.75,2099.709961,2084.360107,2085.449951,3168160000,2085.449951
2016-06-21,2085.189941,2093.659912,2083.02002,2088.899902,3232880000,2088.899902
